State_Name,ST,LAT,LON,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991
Puerto Rico,PR,18.220833,-66.590149,141,154,156,138,124,94,93,94,104,113,88,125,96,101,72,103,81,61,71,41,25,37,32,37,38,36
Rhode Island,RI,41.580095,-71.477429,61,46,62,42,66,52,49,53,42,50,69,76,73,76,87,84,63,53,52,37,0,0,0,0,0,0
South Carolina,SC,33.836081,-81.163725,287,303,287,280,273,328,299,258,276,278,291,229,220,196,224,295,284,265,221,186,217,160,194,163,149,114
South Dakota,SD,43.969515,-99.901813,47,52,47,35,49,57,34,47,33,46,49,63,62,52,39,25,27,34,29,16,17,14,15,5,0,0
Tennessee,TN,35.517491,-86.580447,908,857,818,796,738,789,715,776,658,680,724,620,620,584,607,549,550,533,528,498,478,440,384,438,363,366
Texas,TX,31.968599,-99.901813,"3,131","2,803","2,627","2,431","2,355","2,318","2,367","2,190","2,166","2,165","2,052","1,999","1,940","1,899","1,814","1,636","1,629","1,603","1,523","1,401","1,335","1,360","1,290","1,260","1,215","1,172"
Utah,UT,39.32098,-111.093731,385,363,353,361,271,289,268,269,260,281,290,238,302,276,264,223,221,244,230,208,218,231,192,203,191,229
Vermont,VT,44.558803,-72.577841,24,16,30,25,24,38,45,33,46,41,50,38,24,37,3,6,21,24,22,25,24,27,17,5,0,15
Virginia,VA,37.431573,-78.656894,701,649,620,633,688,624,682,713,701,679,744,685,627,601,559,578,527,511,501,521,547,461,460,426,362,368
Washington,WA,47.751074,-120.740139,648,623,668,619,585,547,579,518,533,546,521,554,622,563,518,485,530,454,423,355,403,357,362,348,298,348
West Virginia,WV,38.597626,-80.454903,36,25,39,43,40,44,37,35,45,48,59,50,50,65,61,53,59,79,74,73,67,36,36,32,41,34
Wisconsin,WI,43.78444,-88.787868,803,692,691,685,646,703,672,677,734,737,767,814,776,741,796,685,625,673,639,641,630,602,562,579,473,491
Wyoming,WY,43.075968,-107.290284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
